rank	id	token	freq	freq_pct	cum_freq_pct
54	1976	现	2161	0.248333	59.882993
55	947	中	2081	0.239140	60.122133
56	2423	过	2041	0.234543	60.356676
57	1549	得	2037	0.234084	60.590759
58	1112	出	2002	0.230062	60.820821
59	2534	面	1963	0.225580	61.046401
60	1932	点	1954	0.224546	61.270946
61	930	三	1931	0.221903	61.492849
62	973	二	1871	0.215008	61.707856
63	2473	里	1806	0.207538	61.915394
64	1992	用	1784	0.205010	62.120404
65	1510	年	1724	0.198115	62.318519
66	1546	很	1708	0.196276	62.514795
67	1990	生	1670	0.191909	62.706705
68	990	什	1662	0.190990	62.897695
69	1813	样	1661	0.190875	63.088570
70	2298	觉	1636	0.188002	63.276573
71	1423	子	1616	0.185704	63.462277
72	2277	行	1533	0.176166	63.638443
73	2070	种	1527	0.175476	63.813919
74	957	之	1514	0.173983	63.987902
75	2453	道	1488	0.170995	64.158896
76	1195	发	1448	0.166398	64.325295
77	1527	开	1434	0.164789	64.490084
78	1045	候	1428	0.164100	64.654184
79	2149	经	1418	0.162951	64.817134
80	1018	但	1417	0.162836	64.979970
81	1441	实	1411	0.162146	65.142116
82	1588	想	1403	0.161227	65.303343
83	1607	所	1390	0.159733	65.463076
84	1334	国	1377	0.158239	65.621316
85	1537	当	1377	0.158239	65.779555
86	1225	吧	1352	0.155366	65.934921
87	1326	因	1348	0.154907	66.089827
88	1727	方	1336	0.153528	66.243355
89	1857	比	1336	0.153528	66.396883
90	2153	给	1328	0.152608	66.549491
91	1133	前	1323	0.152034	66.701524
92	1283	啦	1320	0.151689	66.853213
93	1248	和	1318	0.151459	67.004672
94	1402	如	1311	0.150655	67.155327
95	978	五	1302	0.149620	67.304948
96	2213	自	1285	0.147667	67.452614
97	1116	分	1273	0.146288	67.598902
98	943	两	1257	0.144449	67.743352
99	981	些	1256	0.144334	67.887686
100	1051	做	1231	0.141461	68.029147
101	1428	学	1229	0.141232	68.170379
102	1439	定	1224	0.140657	68.311036
103	2330	话	1193	0.137095	68.448130
104	1765	最	1191	0.136865	68.584995
105	1599	成	1175	0.135026	68.720021
106	2044	知	1148	0.131923	68.851945
107	2581	高	1148	0.131923	68.983868
108	1801	果	1146	0.131694	69.115562
109	1128	别	1130	0.129855	69.245417
110	2017	百	1110	0.127557	69.372973
111	1234	呃	1107	0.127212	69.500185
112	1339	地	1104	0.126867	69.627052
113	1222	吗	1090	0.125258	69.752310
114	2385	起	1088	0.125028	69.877339
115	1779	机	1084	0.124569	70.001908
116	1433	它	1074	0.123420	70.125327
117	2428	进	1071	0.123075	70.248402
118	1625	把	1067	0.122615	70.371017
119	2394	跟	1055	0.121236	70.492254
120	2407	车	1048	0.120432	70.612685
121	2036	着	1046	0.120202	70.732887
122	1324	四	1029	0.118248	70.851136
